GDEKT;GDENR;GDENAME;PLZ4;PLZNAME
AG;4001;Aarau;5000;Aarau
AG;4002;Biberstein;5023;Biberstein
AG;4003;Buchs (AG);5033;Buchs AG
AG;4012;Suhr;5034;Suhr
AG;4004;Densbüren;5026;Densbüren
AG;4005;Erlinsbach (AG);5018;Erlinsbach
AG;4006;Gränichen;5722;Gränichen
AG;4007;Hirschthal;5042;Hirschthal
AG;4008;Küttigen;5022;Rombach
AG;4009;Muhen;5037;Muhen
AG;4010;Oberentfelden;5036;Oberentfelden
AG;4013;Unterentfelden;5035;Unterentfelden
AG;4021;Baden;5400;Baden
AG;4022;Bellikon;5454;Bellikon
AG;4023;Bergdietikon;8962;Bergdietikon
AG;4024;Birmenstorf (AG);5413;Birmenstorf AG
AG;4026;Ennetbaden;5408;Ennetbaden
AG;4027;Fislisbach;5442;Fislisbach
AG;4028;Freienwil;5423;Freienwil
AG;4029;Gebenstorf;5412;Gebenstorf
AG;4030;Killwangen;8956;Killwangen
AG;4031;Künten;5444;Künten
AG;4032;Mägenwil;5506;Mägenwil
AG;4033;Mellingen;5507;Mellingen
AG;4034;Neuenhof;5432;Neuenhof
AG;4035;Niederrohrdorf;5443;Niederrohrdorf
AG;4049;Ehrendingen;5420;Ehrendingen
AG;4037;Oberrohrdorf;5452;Oberrohrdorf
AG;4038;Obersiggenthal;5416;Kirchdorf AG
AG;4039;Remetschwil;5453;Remetschwil
AG;4040;Spreitenbach;8957;Spreitenbach
AG;4041;Stetten (AG);5608;Stetten AG
AG;4042;Turgi;5300;Turgi
AG;4044;Untersiggenthal;5417;Untersiggenthal
AG;4045;Wettingen;5430;Wettingen
AG;4046;Wohlenschwil;5512;Wohlenschwil
AG;4047;Würenlingen;5303;Würenlingen
AG;4048;Würenlos;8109;Kloster Fahr
AG;4061;Arni (AG);8905;Arni AG
AG;4062;Berikon;8965;Berikon
AG;4063;Bremgarten (AG);5620;Bremgarten AG
AG;4064;Büttikon;5619;Büttikon AG
AG;4065;Dottikon;5605;Dottikon
AG;4066;Eggenwil;5445;Eggenwil
AG;4067;Fischbach-Göslikon;5525;Fischbach-Göslikon
AG;4068;Hägglingen;5607;Hägglingen
AG;4080;Villmergen;5613;Hilfikon
AG;4071;Jonen;8916;Jonen
AG;4072;Niederwil (AG);5524;Niederwil AG
AG;4073;Oberlunkhofen;8917;Oberlunkhofen
AG;4074;Oberwil-Lieli;8966;Oberwil-Lieli
AG;4075;Rudolfstetten-Friedlisberg;8964;Rudolfstetten
AG;4076;Sarmenstorf;5614;Sarmenstorf
AG;4077;Tägerig;5522;Tägerig
AG;4078;Uezwil;5619;Uezwil
AG;4079;Unterlunkhofen;8918;Unterlunkhofen
AG;4081;Widen;8967;Widen
AG;4082;Wohlen (AG);5610;Wohlen AG
AG;4083;Zufikon;5621;Zufikon
AG;4084;Islisberg;8905;Islisberg
AG;4091;Auenstein;5105;Auenstein
AG;4092;Birr;5242;Birr
AG;4093;Birrhard;5244;Birrhard
AG;4094;Bözen;5076;Bözen
AG;4095;Brugg;5200;Brugg AG
AG;4096;Effingen;5078;Effingen
AG;4097;Elfingen;5077;Elfingen
AG;4124;Bözberg;5225;Bözberg
AG;4099;Habsburg;5245;Habsburg
AG;4100;Hausen (AG);5212;Hausen AG
AG;4184;Mettauertal;5277;Hottwil
AG;4104;Lupfig;5242;Lupfig
AG;4105;Mandach;5318;Mandach
AG;4106;Mönthal;5237;Mönthal
AG;4107;Mülligen;5243;Mülligen
AG;4125;Schinznach;5108;Oberflachs
AG;4110;Remigen;5236;Remigen
AG;4111;Riniken;5223;Riniken
AG;4112;Rüfenach;5235;Rüfenach AG
AG;4121;Villigen;5233;Stilli
AG;4117;Thalheim (AG);5112;Thalheim AG
AG;4120;Veltheim (AG);5106;Veltheim AG
AG;4123;Windisch;5210;Windisch
AG;4131;Beinwil am See;5712;Beinwil am See
AG;4132;Birrwil;5708;Birrwil
AG;4133;Burg (AG);5736;Burg AG
AG;4134;Dürrenäsch;5724;Dürrenäsch
AG;4135;Gontenschwil;5728;Gontenschwil
AG;4136;Holziken;5043;Holziken
AG;4137;Leimbach (AG);5733;Leimbach AG
AG;4138;Leutwil;5725;Leutwil
AG;4143;Schmiedrued;5046;Schmiedrued
AG;4144;Schöftland;5040;Schöftland
AG;4145;Teufenthal (AG);5723;Teufenthal AG
AG;4146;Unterkulm;5726;Unterkulm
AG;4147;Zetzwil;5732;Zetzwil
AG;4161;Eiken;5074;Eiken
AG;4163;Frick;5070;Frick
AG;4164;Gansingen;5272;Gansingen
AG;4165;Gipf-Oberfrick;5073;Gipf-Oberfrick
AG;4166;Herznach;5027;Herznach
AG;4167;Hornussen;5075;Hornussen
AG;4169;Kaisten;5083;Ittenthal
AG;4170;Laufenburg;5080;Laufenburg
AG;4172;Münchwilen (AG);4333;Münchwilen AG
AG;4173;Oberhof;5062;Oberhof
AG;4175;Oeschgen;5072;Oeschgen
AG;4176;Schwaderloch;5326;Schwaderloch
AG;4177;Sisseln;4334;Sisseln AG
AG;4179;Ueken;5028;Ueken
AG;4181;Wittnau;5064;Wittnau
AG;4182;Wölflinswil;5063;Wölflinswil
AG;4183;Zeihen;5079;Zeihen
AG;4192;Boniswil;5706;Boniswil
AG;4193;Brunegg;5505;Brunegg
AG;4194;Dintikon;5606;Dintikon
AG;4195;Egliswil;5704;Egliswil
AG;4196;Fahrwangen;5615;Fahrwangen
AG;4197;Hallwil;5705;Hallwil
AG;4198;Hendschiken;5604;Hendschiken
AG;4199;Holderbank (AG);5113;Holderbank AG
AG;4200;Hunzenschwil;5502;Hunzenschwil
AG;4201;Lenzburg;5600;Lenzburg
AG;4202;Meisterschwanden;5616;Meisterschwanden
AG;4203;Möriken-Wildegg;5103;Wildegg
AG;4204;Niederlenz;5702;Niederlenz
AG;4205;Othmarsingen;5504;Othmarsingen
AG;4206;Rupperswil;5102;Rupperswil
AG;4207;Schafisheim;5503;Schafisheim
AG;4208;Seengen;5707;Seengen
AG;4209;Seon;5703;Seon
AG;4210;Staufen;5603;Staufen
AG;4221;Abtwil;5646;Abtwil AG
AG;4222;Aristau;5628;Aristau
AG;4223;Auw;5644;Auw
AG;4224;Beinwil (Freiamt);5637;Beinwil (Freiamt)
AG;4234;Merenschwand;5636;Benzenschwil
AG;4226;Besenbüren;5627;Besenbüren
AG;4227;Bettwil;5618;Bettwil
AG;4228;Boswil;5623;Boswil
AG;4229;Bünzen;5624;Bünzen
AG;4230;Buttwil;5632;Buttwil
AG;4231;Dietwil;6042;Dietwil
AG;4232;Geltwil;5637;Geltwil
AG;4233;Kallern;5625;Kallern
AG;4235;Mühlau;5642;Mühlau
AG;4236;Muri (AG);5630;Muri AG
AG;4237;Oberrüti;5647;Oberrüti
AG;4238;Rottenschwil;8919;Rottenschwil
AG;4239;Sins;5643;Sins
AG;4240;Waltenschwil;5622;Waltenschwil
AG;4251;Hellikon;4316;Hellikon
AG;4252;Kaiseraugst;4303;Kaiseraugst
AG;4253;Magden;4312;Magden
AG;4254;Möhlin;4313;Möhlin
AG;4255;Mumpf;4322;Mumpf
AG;4256;Obermumpf;4324;Obermumpf
AG;4257;Olsberg;4305;Olsberg
