place,url,scrape_time,day_of_week,hour_of_day,popularity_percent_normal,popularity_percent_current
18MfZrQsWLHe4an5A; Baar SBB,https://goo.gl/maps/18MfZrQsWLHe4an5A; Baar SBB,20200414_130002,Tuesday,13.0,24.0,6.0
5J5PWA2mvsjfijhM8; Gisikon-Root SBB,https://goo.gl/maps/5J5PWA2mvsjfijhM8; Gisikon-Root SBB,20200414_130002,Tuesday,13.0,29.0,20.0
5NhppGmiXNdYMVV39; Wil FFS,https://goo.gl/maps/5NhppGmiXNdYMVV39; Wil FFS,20200414_130002,Tuesday,13.0,22.0,19.0
6e9UttM9XL7nWfw4A; Stein-Säckingen SBB,https://goo.gl/maps/6e9UttM9XL7nWfw4A; Stein-Säckingen SBB,20200414_130002,Tuesday,13.0,54.0,41.0
6fYmw1AA27Pbm9rF7; Raststätte Grauholz,https://goo.gl/maps/6fYmw1AA27Pbm9rF7; Raststätte Grauholz,20200414_130002,Tuesday,13,66.0,31.0
7ZNVS9tk4KW5MDSJ7;Spiez SBB,https://goo.gl/maps/7ZNVS9tk4KW5MDSJ7;Spiez SBB,20200414_130002,Tuesday,13.0,55.0,13.0
9BMk8rfubhbdB5JX9; Baden FFS,https://goo.gl/maps/9BMk8rfubhbdB5JX9; Baden FFS,20200414_130002,Tuesday,13.0,30.0,24.0
Am69pqEovV7ASBb26; Arth-Goldau SBB,https://goo.gl/maps/Am69pqEovV7ASBb26; Arth-Goldau SBB,20200414_130002,Tuesday,13.0,55.0,18.0
CKQDxF7dWwLpcd7w9; Gotthard Raststätte Fahrtrichtung Nord,https://goo.gl/maps/CKQDxF7dWwLpcd7w9; Gotthard Raststätte Fahrtrichtung Nord,20200414_130002,Tuesday,13,56.0,8.0
FkTSEEwCyhgnLXVQA; Romanshorn FFS,https://goo.gl/maps/FkTSEEwCyhgnLXVQA; Romanshorn FFS,20200414_130002,Tuesday,13.0,42.0,32.0
Gv7WGD85Zq4odvnLA; Wettingen SBB,https://goo.gl/maps/Gv7WGD85Zq4odvnLA; Wettingen SBB,20200414_130002,Tuesday,13.0,31.0,27.0
H1nMVPt9qcdQZpTB9; Alpnach Dorf SBB,https://goo.gl/maps/H1nMVPt9qcdQZpTB9; Alpnach Dorf SBB,20200414_130002,Tuesday,13.0,53.0,7.0
HZCqFeHrJaa2xeqt7; Raststätte Knonaueramt AG,https://goo.gl/maps/HZCqFeHrJaa2xeqt7; Raststätte Knonaueramt AG,20200414_130002,Tuesday,13.0,71.0,49.0
HmpGkXMjKDNMDR1k8;Davos SBB,https://goo.gl/maps/HmpGkXMjKDNMDR1k8;Davos SBB,20200414_130002,Tuesday,13.0,55.0,15.0
NNYGmTZoqQHK6oia6; Zürich Hardbrücke SBB,https://goo.gl/maps/NNYGmTZoqQHK6oia6; Zürich Hardbrücke SBB,20200414_130002,Tuesday,13.0,32.0,22.0
PPdkCocwWgs1X5a6A; Autobahnraststätte Gunzgen Nord,https://goo.gl/maps/PPdkCocwWgs1X5a6A; Autobahnraststätte Gunzgen Nord,20200414_130002,Tuesday,13,72.0,17.0
QMQwBuiVLwC2QeR46; Lyss FFS,https://goo.gl/maps/QMQwBuiVLwC2QeR46; Lyss FFS,20200414_130002,Tuesday,13.0,21.0,23.0
R9shicx4CnrYgVsD6;Sierre SBB,https://goo.gl/maps/R9shicx4CnrYgVsD6;Sierre SBB,20200414_130002,Tuesday,13.0,53.0,15.0
TE6xrBLejeWg3qmu9; Zug SBB,https://goo.gl/maps/TE6xrBLejeWg3qmu9; Zug SBB,20200414_130002,Tuesday,13.0,41.0,15.0
TcZLKPWDG6cZvJPa6; Bellinzona FFS,https://goo.gl/maps/TcZLKPWDG6cZvJPa6; Bellinzona FFS,20200414_130002,Tuesday,13.0,52.0,7.0
Vn1ucGX9E8NKBF8c7; Basel FFS,https://goo.gl/maps/Vn1ucGX9E8NKBF8c7; Basel FFS,20200414_130002,Tuesday,13,57.0,20.0
W7caJFwG85GgzPxe9; Genève FFS,https://goo.gl/maps/W7caJFwG85GgzPxe9; Genève FFS,20200414_130002,Tuesday,13.0,51.0,9.0
W9pHoGdN5ayoPzhe9;Kandersteg SBB,https://goo.gl/maps/W9pHoGdN5ayoPzhe9;Kandersteg SBB,20200414_130002,Tuesday,13.0,24.0,5.0
YCnn99jfRfdzEjfH6; Aarau FFS,https://goo.gl/maps/YCnn99jfRfdzEjfH6; Aarau FFS,20200414_130002,Tuesday,13.0,34.0,17.0
ZCDgnzQEhfifuMYn6;Zermatt SBB,https://goo.gl/maps/ZCDgnzQEhfifuMYn6;Zermatt SBB,20200414_130002,Tuesday,13.0,52.0,9.0
aPhETgw93Mdtcz8Y7; Autogrill Aran-Villette,https://goo.gl/maps/aPhETgw93Mdtcz8Y7; Autogrill Aran-Villette,20200414_130002,Tuesday,13.0,75.0,33.0
aUN99FiVhqJGFyhA6; Luzern FFS,https://goo.gl/maps/aUN99FiVhqJGFyhA6; Luzern FFS,20200414_130002,Tuesday,13.0,76.0,12.0
bSAXwV3VyY5zYnUA6; Winterthur FFS,https://goo.gl/maps/bSAXwV3VyY5zYnUA6; Winterthur FFS,20200414_130002,Tuesday,13.0,40.0,18.0
bUjJyqzanGjHvx1z5;Thun SBB,https://goo.gl/maps/bUjJyqzanGjHvx1z5;Thun SBB,20200414_130002,Tuesday,13.0,40.0,15.0
cqBaXgRzQ2QBfMHX6;Grindelwald SBB,https://goo.gl/maps/cqBaXgRzQ2QBfMHX6;Grindelwald SBB,20200414_130002,Tuesday,13.0,35.0,8.0
